Fund ID,Fund,Results Area ID,Results Area,Department,Short Title,Link to Website,Department Description,Control Officer,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012
1,General Fund,2,Public Safety ,Orleans Parish District Attorney's Office,District Attorney,http://orleansda.com/,"The New Orleans DA is funded by the General Fund. The funding pays for core services including staff and trial expenses, along with funding the Innocence Project.",District Attorney,3166131,3616131,"$5,766,132","$5,589,519","$6,166,265","$6,666,265","$6,271,671","$6,271,671","$6,476,671",3096130,3616131,5916841,5889509,6166265,6412956
1,General Fund,2,Public Safety ,New Orleans Coroner's Office,Coroner,http://louisianasca.org/parish-offices/orleans-parish/,The Coroner's funding comes completely through the General Fund. ,Coroner,1370346,1425782,"$1,611,763","$1,505,100","$1,478,597","$1,669,099","$1,669,099","$1,781,605","$2,176,605",1466288,1454871,1736211,1601222,1837234,1741489
1,General Fund,2,Public Safety ,Orleans Parish Juvenile Court,Juvenile Court,http://opjc.com/,"Juvenile Court is paid for through the General Fund with most of the money going to pay for receptions, resources and skills center, whose goal is to assist judges in finding appropriate programs for youth, decrease the amount of time spent in custody, ensure youth appear in court when mandated, and protect public safety.",Juvenile Court,1497383,3136121,"$3,601,035","$3,236,427","$3,961,913","$3,743,800","$2,615,283","$3,025,203","$2,470,534",1699725,2919119,3622808,3646989,3826663,3594456
1,General Fund,2,Public Safety ,Orleans Parish First City Court,First City Court,http://www.orleanscdc.com/fccintro.html,First City Court only recieves General Fund dollars from the City of New Orleans.,First City Court,6000,6000,"$6,000","$5,400","$6,000","$6,000","$6,000","$6,000","$6,000",0,0,0,0,0,0
1,General Fund,2,Public Safety ,Orleans Parish Civil District Court,Civil District Court,http://www.orleanscdc.com/,Civil Court only receives General Fund dollars from the City of New Orleans.,Civil District Court,14400,14400,"$14,400","$12,960","$14,400","$14,400","$14,400","$14,400","$14,400",0,0,0,0,0,0
1,General Fund,2,Public Safety ,New Orleans Municipal Court,Municipal Court,http://www.nola.gov/municipal-court/,Municipal court only receives General Fund dollars.,Municipal Court,1073968,1087979,"$1,885,435","$1,763,882","$2,800,000","$2,566,323","$1,867,343","$2,045,894","$2,830,000",1051412,1121520,1916463,1762726,2724884,2254143
1,General Fund,1,Open and Effective Government,Traffic Court,Traffic Court,http://www.nola.gov/traffic-court/,Traffic Court only recives General Fund dollars.,Traffic Court,970035,970035,"$970,035","$940,706","$948,074","$354,356","$389,640","$437,587","$441,275",913725,925238,976629,924435,587529,362976
1,General Fund,2,Public Safety ,Orleans Parish Criminal District Court,Criminal Court,http://www.criminalcourt.org/,"The Criminal Court is paid for by the General Fund. The funding pays for the Tulane Learning Tower, jury expenses, and court staffing.",Criminal Court,2007176,2664116,"$2,844,662","$3,060,196","$2,860,196","$2,214,832","$1,526,597","$1,526,597","$2,026,597",1982149,2634662,2844662,3033901,2860195,2149668
1,General Fund,2,Public Safety ,Orleans Parish Sheriff's Office,Sheriff,http://www.opcso.org/,The Sheriff's entire budget is provided by the General Fund to pay for criminal expenses and personnel costs.,Sheriff,27406055,27406055,"$22,766,556","$20,489,901","$22,594,000","$22,944,000","$22,134,338","$24,184,338","$28,584,338",24020922,25327988,26665058,23013071,22543846,21608813
1,General Fund,2,Public Safety ,Clerk of Criminal District Court,Clerk of Criminal Court,http://www.criminalcourt.org/court/clerk.aspx,"The Clerk's budget pays for administrative costs, court costs, and pre court costs. ",Clerk of Criminal District Court,2083412,2981955,"$3,758,492","$3,329,595","$3,850,403","$3,726,329","$3,726,330","$3,726,330","$3,726,330",2193422,2447641,4067699,3752310,4027575,4096351
1,General Fund,1,Open and Effective Government,Registrar of Voters,Registrar,http://www.nola.gov/registrar/,The registar's budget is provided by the General Fund a pays for the process of voter registration and compliance with election codes.,Registrar,306350,372100,"$372,100","$484,891","$480,000","$407,890","$383,416","$371,945","$371,945",313957,361410,390732,337297,531229,392566
1,General Fund,1,Open and Effective Government,Judicial Retirement,Judicial Retirement,,The General Fund pays the pension system for retired judges.,Parish Wide Costs,160580,163792,"$163,792","$163,792","$163,792","$162,477","$263,238","$287,233","$301,500",154605,225783,213679,164228,232443,309047
1,General Fund,1,Open and Effective Government,Mayor's Office,Mayor,http://nola.gov/mayor/,"The Mayor's Office's core funding pays for the Neighborhood Engagement Office, communications, and the actual Mayor's Office.",Mayor,5340665,5900931,6334282,2762237,5186656,3876717,5424459,"4,662,930","$4,660,343",,5303863,3936962,3680496,6399271,5738368
1,General Fund,2,Public Safety ,Mayor's Office,Criminal Justice Coordination/Homeland Security,http://nolaforlife.org/home/,"They Mayor's Office public safety spending pays for NOLA FOR LIFE, and Criminal Justice Coordiantion to create efficencies in the criminal justice system.",Mayor,966283,2244273,1177392,817071,2064368,2024718,0,4622806,"4,812,258",,1273826,1271281,662281,1167211,1557484
1,General Fund,3,Economic Development ,Mayor's Office,Office of Cultural Economy/Office of Economic Development,http://www.nola.gov/cultural-economy/,"The Mayor's Office of Cultural Economy creates opportunities for the film, arts, music and culinary industries. The Office of Ecnomic Development works to bring job and business opportunities to New Orleans.",Mayor,1203489,1358299,1180575,0,2094511,1903998,1297424,"1,180,844","1,180,844",,936114,1073467,1374634,734847,1326166
1,General Fund,4,Sustainable Communities ,Mayor's Office,Community Development,http://www.nola.gov/community-development/,The Community Development Office fights blight and creates affordable housing in the city of New Orleans.,Mayor,893452,4246873,1621785,277383,644899,574187,169414,"109,975","112,562",,3948283,2442794,232305,167481,518599
1,General Fund,5,Children and Families ,Mayor's Office,Ryan White/HIV/AIDS Funding,nola.gov/mayor,,Mayor,0,200000,100000,76070,50000,0,0,0,0,,81878,65686,0,349123,3760
1,General Fund,1,Open and Effective Government,Miscellaneous Programs,Service and Innovation/Office of Performance Accountability/Worker's Compensation,http://www.nola.gov/performance-and-accountability/,The Service and Innovation team works to find effeciences in city contracts and structure. The Office of Performance Accountability promotes better city services through data reporting to residents.,CAO,14472094,1998000,906597,5069242,131000,98766,5553240,9082077,"8,805,702",,7388213,3985940,23000080,1941867,8443855
1,General Fund,2,Public Safety ,Miscellaneous Programs,NOPD Consent Decree/Public Defender's Office,http://www.opdla.org,The NOPD consent decree fullfills federal mandates to improve the police department. The Public Defender's Office provides legal representation to those who cannot afford it.,CAO,5221000,1000000,0,0,0,2243000,"5,900,000",5754556,"7,280,955",,6870003,"12,212,162",15183181,208911,-1847557
1,General Fund,3,Economic Development ,Miscellaneous Programs,Mayor's Summer Youth Program/TIF ,http://www.nola.gov/economic-development/workforce-development/nola-youthworks/,The Summer Youth programs gives youth ages 13-21 summer work experience that give them job skills for the real world. TIF funds offer tax incentives to business creating jobs in New Orleans.,CAO,7747129,3747129,3796173,3544713,4042528,4625883,5229727,5573500,"5,061,000",,3796173,3841687,2487293,3896635,3841382
1,General Fund,4,Sustainable Communities ,Miscellaneous Programs,Participation Grants: SPCA/LSU Ag Center/Regional Planning Commission,,,CAO,3034510,3882105,5044510,3817600,"4,934,492","4,829,624","4,508,560","4,582,203","1,460,163",,4499283,"5,180,802",3519738,4743708,4742165
1,General Fund,5,Children and Families ,Miscellaneous Programs,"NORD/Participation Funds: Department on Aging, Veterans Affairs, TCA",http://nordc.org,"The New Orleans Recreation Development Commission runs parks, community centers, and programming at facities across New Orleans.",CAO,2747129,0,0,0,"8,005,200",8301936,8333966,"9,231,813","10,868,623",,0,0,372,5048487,6461048
,,,,,,,,,,,,,,,,,,,,,,,
2,Other Fund,1,Open and Effective Government,City Council,Council,http://www.nolacitycouncil.com/,City Council Other Fund dollars come from self-generated revenues or special funds.,City Council,0,0,0,$0,,0,0,"$6,905,000","$6,905,000",235320,0,0,0,0,4632
2,Other Fund,1,Open and Effective Government,Chief Administrative Office,CAO,http://www.nola.gov/chief-administrative-office/,Other Fund dollars under the CAO operate the Office of Homeland Security and come from federal grants.,CAO,"$24,409,158","$10,707,601","$4,611,836","$48,894,322","$58,602,558","$10,630,471","$3,385,158","$2,221,996","$1,723,582",2523228,26910629,11877701,2594855,5982109,11395693
2,Other Fund,1,Open and Effective Government,Law Department,Law  ,http://www.nola.gov/city-attorney/,Law Department Other Fund dollars come from the Housing Improvement Fund as well as state and local foundation grants.,Mayor,"$221,816","$245,279","$274,333","$606,120","$632,877","$577,165","$540,686","$514,844","$615,800",236011,251886,307674,191741,554074,554862
2,Other Fund,2,Public Safety ,New Orleans Fire Department,Fire,http://www.nola.gov/nofd/,,Deputy Mayor,"$3,769,971","$10,851,771",0,"$844,417","$4,548,481","$4,481,726","$532,000",0,25000,20788149,20104764,24894417,457789,4443174,4555388
2,Other Fund,3,Economic Development ,Safety & Permits Department,Safety and Permits,http://www.nola.gov/safety-and-permits/,Safety and Permit's Other Funding comes from a combination of federal grants as well as state and local foundation grants.,CAO,"$3,416,503",10699778,0,0,0,"$1,452,286",0,"$924,187","$1,024,415",1237863,0,182732,383739,0,2670067
2,Other Fund,2,Public Safety ,New Orleans Police Department,Police  ,http://www.nola.gov/nopd/,"Some Other Funds are available to the NOPD through federal and state programs that pay for forensic testing, the D.A.R.E program, violent crime and sexual assault task forces.",Mayor,"$16,271,501","$30,337,269","$9,938,438","$8,630,090","$9,231,748","$13,373,098","$7,673,791","$6,118,385","$10,462,608",24797727,21872031,26891956,1886076,138757,10400731
2,Other Fund,4,Sustainable Communities ,Sanitation Department,Sanitation,http://www.nola.gov/sanitation/,,CAO,"$25,431,662",30337269,"$794,787",0,0,0,0,0,0,2515,9437,176170,0,0,5157985
2,Other Fund,2,Public Safety ,Department of Health,Health  ,http://www.nola.gov/health-department/,Other funding for the Health Department comes from federal grants along with state and local foundation grants.,CAO,"$10,695,810","$10,606,634","$9,247,086","$10,627,317","$12,549,028","$5,501,647","$16,467,847","$15,422,195","$20,490,680",6596105,4191682,5922541,4998170,3327385,11371485
2,Other Fund,2,Public Safety ,Human Services/Youth Study Center,Human Services,http://www.nola.gov/youth-study-center/,Some federal funding covers administrative costs.,Deputy Mayor,"$837,025","$854,275","$854,278","$837,818","$1,275,470","$1,146,231","$562,469",0,"$559,454",37511,62512,59011,3008,49963,3703143
2,Other Fund,1,Open and Effective Government,Department of Finance,Finance,http://www.nola.gov/finance/,,CAO,63711,72552,0,0,0,0,0,$0,"$5,000,000",0,0,44594,0,0,0
2,Other Fund,1,Open and Effective Government,Property Management,Property Management,http://www.nola.gov/property-management/,,Deputy Mayor,"$1,178,673","$4,552,379","$2,000,237","$2,087,198","$2,657,835","$11,746,368","$484,637","$580,144","$141,144",5879734,2072325,2078449,914540,954967,12680742
2,Other Fund,1,Open and Effective Government,Civil Service,Civil Service,http://www.nola.gov/civil-service/,,CAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,4,Sustainable Communities ,Department of Public Works,Public Works,http://www.nola.gov/dpw/,Public Works Other Fund dollars come from HUD.,Deputy Mayor,27481645,44690887,"$8,463,212","$7,542,093","$4,279,510","$3,000,000","$1,000,000","$1,300,000","$7,129,119",4498099,3915335,2327253,1814165,0,53691119
2,Other Fund,4,Sustainable Communities ,Department of Parks and Parkways,Parks and Parkways,http://www.nola.gov/parks-and-parkways/,Parks and Parkways Other Fund dollars come from trust funds or are self generated and pay for golf course maintenance and park planning.,CAO,411434,337896,53251,0,0,"$147,571",0,"$900,000","$1,000,000",27951,28364,183138,0,0,9402528
2,Other Fund,5,Children and Families ,New Orleans Public Library,Library,http://www.neworleanspubliclibrary.org/welcome.htm,The NOPL is almost exclusively funded by Other Fund dollars from a dedicated millage that pay for library operations and self-generated funds.,Independent Board,14563505,"$11,798,267","$6,969,529","$10,367,711","$8,393,956","$16,289,691","$12,112,000","$12,974,861","$12,574,498",452671,6118791,6757518,7623511,8595405,22095320
2,Other Fund,4,Sustainable Communities ,Historic District Landmarks Commission,HDLC,http://www.nola.gov/hdlc/,,CAO,8360,61343,0,"$54,860",0,0,0,0,0,0,0,47063,20480,0,0
2,Other Fund,4,Sustainable Communities ,Vieux Carre Commission,VCC,http://www.nola.gov/vcc/,,CAO,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,1,Open and Effective Government,Alcoholic Beverages Control Board,Alcoholic Bvg Ctrl. Bd.,http://nolacitycouncil.com/resources/resources_alcoholicbev_board.asp,,Independent Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,4,Sustainable Communities ,City Planning Commission,CPC,http://www.nola.gov/city-planning/,CPC's other fund dollars come from local and state foundation grants. ,Deputy Mayor,1189,0,0,0,,0,0,"$459,519","$469,021",0,0,0,0,0,0
2,Other Fund,5,Children and Families ,"Mosquito, Termite and Rodent Control Board",Mosquito Control Bd.,http://www.nola.gov/mosquito/,"MTRCB's other funded is provided by trust funds, self generated revenue, and grants. ",Deputy Mayor,931690,1375829,"$1,301,758","$567,598","$574,619","$864,861","$30,755","$791,584","$814,481",551932,290541,781131,217082,197001,594262
2,Other Fund,5,Children and Families ,New Orleans Museum of Art,NOMA,http://noma.org/,,Independent Board,0,0,0,0,0,0,0,$0,$0,0,0,0,0,0,72591
2,Other Fund,6,Open and Effective Government,General Services,OIG,http://www.nolaoig.org/main/,"Other funding for the Inspector General comes from state, local, and federal grants for oversight of programs like Recovery School District facility construction.",Independent Board,0,0,0,0,0,"$2,611,191","$798,000",0,"$318,377",0,0,0,0,0,174524
2,Other Fund,1,Open and Effective Government,Office of Community Development,Community Development,http://www.nola.gov/community-development/,Other Fund dollars pay for blight reduction and economic development programs.,CAO,69144484,,,"$76,172,287","$69,618,690","$77,419,674","$45,374,429","$52,904,424","$50,145,068",19754684,33871852,29777848,27758067,19196473,22831898
2,Other Fund,2,Public Safety ,Orleans Parish District Attorney's Office,District Attorney,http://orleansda.com/,,District Attorney,1981207,1279328,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,2,Public Safety ,New Orleans Coroner's Office,Coroner,http://louisianasca.org/parish-offices/orleans-parish/,,Coroner,228742,711088,0,0,0,"$881,470",0,0,0,264565,421491,58810,58810,50000,17105
2,Other Fund,2,Public Safety ,Orleans Parish Juvenile Court,Juvenile Court,http://opjc.com/,,Juvenile Court,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,2,Public Safety ,Orleans Parish First City Court,First City Court,http://www.orleanscdc.com/fccintro.html,,First City Court,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,2,Public Safety ,Orleans Parish Civil District Court,Civil District Court,http://www.orleanscdc.com/,,Civil District Court,7125,7125,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,2,Public Safety ,New Orleans Municipal Court,Municipal Court,http://www.nola.gov/municipal-court/,,Municipal Court,1853519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,1,Open and Effective Government,Traffic Court,Traffic Court,http://www.nola.gov/traffic-court/,,Traffic Court,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,2,Public Safety ,Orleans Parish Criminal District Court,Criminal Court,http://www.criminalcourt.org/,,Criminal Court,4176426,3197756,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,2,Public Safety ,Orleans Parish Sheriff's Office,Sheriff,http://www.opcso.org/,,Sheriff,1231440,347101,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,2,Public Safety ,Clerk of Criminal District Court,Clerk of Criminal Court,http://www.criminalcourt.org/court/clerk.aspx,,Clerk of Criminal District Court,0,1287673,"$1,457,655",0,0,0,0,0,0,1362759,1008269,0,0,0,0
2,Other Fund,1,Open and Effective Government,Registrar of Voters,Registrar,http://www.nola.gov/registrar/,,Registrar,0,0,0,0,0,$0,$0,0,0,0,0,0,0,0,0
2,Other Fund,1,Open and Effective Government,Judicial Retirement,Judicial Retirement,,,Parish Wide Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,7,Enterprise Funds,NOAB Revolving Fund,NO Aviation Board,http://www.nola.gov/boards/new-orleans-aviation-board/,"The New Orleans Aviation Board represents the City in all aviation matters in consultation with state, national, and international government agencies. It is an unattached board under the executive branch of the New Orleans City Government.
",Independent Board,59999954,66790224,"$69,222,688","$69,222,688",70759811,"$66,990,177","$66,990,177","$74,974,783","$73,524,500",44886177,58096656,43444054,41376853,38966674,38319717
2,Other Fund,7,Enterprise Funds,Delgado Albania Revolving Fund,Delgado-Albania,http://www.nola.gov/boards/delgado-albania-plantation-commission/,"The Delgado Albania Plantation Commission provides for the administration, operation and maintenance of the Delgado Albania Plantation, has authority, with the approval of the City Council, to borrow money to produce crops, and mortgage and pledge as security thereof, the crops and chattels of said plantation, and transmits annually to the Board of City Trusts for the account of the Delgado Community College and its successor such portion of the income of the plantation as may be fixed by the City Council.",Independent Board,3700,3700,"$37,000","$37,000",37000,"$37,000","$37,000","$37,000","$37,000",7500,12500,10000,10000,10000,5000
2,Other Fund,7,Enterprise Funds,French Market Corporation,French Market,http://www.nola.gov/boards/french-market-corporation/,"The French Market Corporation oversees and operates the French Market properties, including the Flea Market and Farmers Market. ",Independent Board,4170682,5330000,"$6,143,748","$6,143,748",6766870,"$7,420,182","$8,100,000","$8,481,110","$11,408,166",1404832,1636114,2031511,1865482,2025196,2415117
2,Other Fund,7,Enterprise Funds,Upper Pontalba Building Restoration Corporation,Upper Pontalba,http://upperpontalba.org/public-benefit-corporation/,Local government corporation organized for the purpose of renovating and operating the Upper Pontalba Building.,Independent Board,1243617,1394818,"$1,685,108","$1,685,108",1767795,"$1,863,897","$1,866,342","$2,043,888",0,0,0,0,0,0,0
2,Other Fund,7,Enterprise Funds,Municipal Yacht Harbor Management Corporation,Yacht Harbor,http://www.nola.gov/boards/municipal-yacht-harbor-management-corporation/,The Municipal Yacht Harbor Management Corporation administers and manages the Municipal Yacht Harbor properties in the City of New Orleans. ,Independent Board,632033,645326,"$583,098","$583,098",673757,"$602,972","$2,052,500","$2,375,300","$2,316,700",171692,151835,409523,2768286,165420,294887
2,Other Fund,7,Enterprise Funds,Orleans Parish Communication District,Communication District,http://www.nola.gov/boards/orleans-parish-communication-district/,"The Orleans Parish Communication District (OPCD) is the administrative office of 9-1-1 for the City of New Orleans. OPCD purchases and maintains equipment and provides training for new and experienced police, fire and emergency medical personnel.",Independent Board,4296180,5001262,"$5,068,000","$5,068,000",5068000,"$5,068,000","$6,838,975","$4,873,451","$5,487,648",0,0,0,0,0,0
2,Other Fund,7,Enterprise Funds,New Orleans Building Corporation Foundation,N.O. Building Corp.,http://www.nola.gov/boards/new-orleans-building-corporation/,"The purpose of the New Orleans Building Corporation is to own, lease, develop and operate properties owned by the City of New Orleans or by the Corporation. ",Independent Board,910000,25653000,"$27,967,123","$27,967,123",27641623,"$27,641,623","$19,171,469","$4,967,106","$6,162,420",0,0,0,0,0,0
