Expenditures 2009,Department Description,Expenditures 2008,Department,Fund ID,Expenditures 2007,Appropriations 2018,Appropriations 2015,Appropriations 2014,Appropriations 2017,Appropriations 2016,Appropriations 2011,Appropriations 2010,Appropriations 2013,Appropriations 2012,Fund,Control Officer,Results Area ID,Results Area,Expenditures 2015,Expenditures 2014,Short Title,Expenditures 2012,Expenditures 2013,Expenditures 2010,Expenditures 2011,Appropriations 2007,Link to Website,Appropriations 2008,Appropriations 2009
2031511,"The French Market Corporation oversees and operates the French Market properties, including the Flea Market and Farmers Market. ",1636114,French Market Corporation,2,1404832,11080914,11408166,8481110,11552724,11423057,6766870,6143748,8100000,7420182,Other Fund,Independent Board,7,Enterprise Funds,3285867,2909100,French Market,2415117,2210074,1865482,2025196,4170682,http://www.nola.gov/boards/french-market-corporation/,5330000,6143748
0,Local government corporation organized for the purpose of renovating and operating the Upper Pontalba Building.,0,Upper Pontalba Building Restoration Corporation,2,0,0,0,2043888,0,0,1767795,1685108,1866342,1863897,Other Fund,Independent Board,7,Enterprise Funds,0,0,Upper Pontalba,0,0,0,0,1243617,http://upperpontalba.org/public-benefit-corporation/,1394818,1685108
409523,The Municipal Yacht Harbor Management Corporation administers and manages the Municipal Yacht Harbor properties in the City of New Orleans. ,151835,Municipal Yacht Harbor Management Corporation,2,171692,2712300,2316700,2375300,2502100,2482000,673757,583098,2052500,602972,Other Fund,Independent Board,7,Enterprise Funds,309582,304016,Yacht Harbor,294887,298681,2768286,165420,632033,http://www.nola.gov/boards/municipal-yacht-harbor-management-corporation/,645326,583098
0,"The Orleans Parish Communication District (OPCD) is the administrative office of 9-1-1 for the City of New Orleans. OPCD purchases and maintains equipment and provides training for new and experienced police, fire and emergency medical personnel.",0,Orleans Parish Communication District,2,0,16431113,5487648,4873451,15647080,6002008,5068000,5068000,6838975,5068000,Other Fund,Independent Board,7,Enterprise Funds,0,0,Communication District,0,0,0,0,4296180,http://www.nola.gov/boards/orleans-parish-communication-district/,5001262,5068000
0,"The purpose of the New Orleans Building Corporation is to own, lease, develop and operate properties owned by the City of New Orleans or by the Corporation. ",0,New Orleans Building Corporation Foundation,2,0,20694032,6162420,4967106,3118227,4227490,27641623,27967123,19171469,27641623,Other Fund,Independent Board,7,Enterprise Funds,0,0,N.O. Building Corp.,0,0,0,0,910000,http://www.nola.gov/boards/new-orleans-building-corporation/,25653000,27967123
14344307,"The Rivergate Development Corporation (RDC) is a city-operated, non-profit, public benefit corporation founded in 1993 for the purpose of providing for the improvement and commercial development of the Rivergate Convention Center property.",14163509,Rivergate Development Corporation,2,12947976,0,0,0,0,0,18908023,20353794,17280852,18914439,Other Fund,Independent Board,7,Enterprise Funds,0,0,Rivergate,12983014,13062190,21021159,13164164,16225000,,13000000,20353794
204820, The Canal Street Development Corporation stimulates business development in the Central Business District and the adaptive reuse and development of Canal Street for commercial purposes. ,180265,Canal Street Development Corporation,2,172256,0,16428600,19998773,16689824,16076566,993823,967744,180698,1000144,Other Fund,Independent Board,7,Enterprise Funds,13946876,13422520,Canal St. Development,174792,296052,148371,179643,1326682,http://www.nola.gov/boards/canal-street-development-corporation/,990339,967744
18699,"The Piazza d'Italia Development Corporation (PDDC) is a city-operated, non-profit, public benefit corporation founded in 1990 for the purpose of providing for the maintenance, improvement, and commercial development of the Piazza d'Italia in accordance with its architectural and cultural integrity.",24432,Piazza d'Italia Development Corporation,2,13442,0,0,0,0,0,563447,475000,800400,563447,Other Fund,Independent Board,7,Enterprise Funds,0,0,Piazza D'Italia,0,0,2932,0,445000,,450000,475000
266366,"The Mayor's Office sometimes receives federal or state grants, such as the Rockafeller Resilient Cities grant, that work towards open and effective government.",0,Mayor's Office,2,0,0,807358,1512464,610216,326815,256775,0,2126501,1241220,Other Fund,Mayor,1,Open and Effective Government,109885,50443,Federal and State Grants,1630905,168552,244669,113520,0,http://nola.gov/mayor/,0,0
4172068,The federal government provides significant funding for homeland security and emergency preparedness. Some state and federal monies are also available to help meet the criteria of the federal consent decrees.,1813820,Mayor's Office,2,0,79411442,68311137,85204326,67479096,55252107,18924191,88459395,62149009,0,Other Fund,Mayor,2,Public Safety ,5999926,3178934,Criminal Justice Coordination/Homeland Security,7473955,9491771,5520459,8811541,16986125,http://nolaforlife.org/home/,16690707,76465091
11158,"Federal and state dollars help pay for tourism incentives, film tax credits, and job training.",131594,Mayor's Office,2,0,1651379,11207852,9063967,24061623,14924396,7992307,8582378,8957105,9083137,Other Fund,Mayor,3,Economic Development ,1444240,1915740,Office of Cultural Economy/Office of Economic Development,656859,813733,0,17476,6396159,http://www.nola.gov/cultural-economy/,7261318,8802003
15076423,The Office of Community Development receives federal grants (CDBG) and HUD funding to provide affordable housing to New Orleanians.,12633471,Mayor's Office,2,0,28470507,26692531,37552903,18321430,11754026,77085953,1082652600,71299650,15682149,Other Fund,Mayor,4,Sustainable Communities ,13288831,11389123,Community Development,16286038,14486992,19015708,4293671,254238,http://www.nola.gov/community-development/,75004786,311350890
8572749,Some federal money was once available to provide assistance to those living with HIV/AIDS under the Ryan White Fund.,9020016,Mayor's Office,2,0,0,0,0,561366,2022669,12110770,13034016,0,12216246,Other Fund,Mayor,5,Children and Families ,519168,1892643,Ryan White/HIV/AIDS Funding,927802,0,0,8131504,10550747,nola.gov/mayor,13127432,12663725
0,"Funding for the Service and Innovation and Performance and Accountability Offices are provided mostly through General Funds. Previously, Intergovernmental funds had been accounted for here to create internal efficencies. ",0,Miscellaneous Programs,2,0,160976,0,0,0,0,60693712,75000000,0,0,Other Fund,CAO,1,Open and Effective Government,0,0,Service and Innovation/Office of Performance Accountability,0,0,0,0,100000000,http://www.nola.gov/performance-and-accountability/,100000000,100000000
0,Some state and federal monies are also available to help meet the criteria of the federal consent decrees.,0,Miscellaneous Programs,2,0,16007939,7875000,0,8930257,9945035,0,0,0,0,Other Fund,CAO,2,Public Safety ,8930257,3633247,NOPD Consent Decree,0,0,0,0,0,http://www.opdla.org,0,0
9260957,"Formerly called JOB1, some federal money was available to help low income job seekers gain workforce skills.",7701134,Miscellaneous Programs,2,0,11565981,0,0,3959816,400000,13951394,17502039,0,0,Other Fund,CAO,3,Economic Development ,3959816,3914070,Workforce Development Act,0,3720391,0,0,17045602,http://www.nola.gov/economic-development/workforce-development/nola-youthworks/,20986165,18637208
31474711,CDBG and HUD funds available to NORDC are accounted for here.,40550770,Miscellaneous Programs,2,0,84540828,3355585,3054938,56629926,2398286,74812833,65571099,23982832,2113691,Other Fund,CAO,4,Sustainable Communities ,24189851,20140353,HUD/CBDG,1823378,25195391,0,1515238,71819092,nordc.org,101359479,80563621
0,Funding for the New Orleans Recreational Development Corporation from state and federal sources.,0,Miscellaneous Programs,2,0,0,1311725,1311486,7311071,0,0,0,0,0,Other Fund,CAO,5,Children and Families ,10681044,3203030,NORDC,10507,2479004,0,0,0,http://nordc.org,0,0
